fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,bankofamerica.com,171.159.228.150,,mxa-0000ec05.gslb.pphosted.com,ns10.bac.com,United States,,,100
Addition,bankofamericaa.com,69.162.80.60,,,ns1.hastydns.com,United States,,,0
Addition,bankofamericab.com,,,,,,,,
Addition,bankofamericac.com,103.224.182.212,,park-mx.above.com,ns1.above.com,Australia,,,0
Addition,bankofamericad.com,108.59.12.101,,,ns1.tacomadc.com,United States,,,0
Addition,bankofamericae.com,108.59.12.99,,,ns1.tacomadc.com,United States,,,0
Addition,bankofamericaf.com,,,,,,,,
Addition,bankofamericag.com,,,,,,,,
Addition,bankofamericah.com,,,,,,,,
Addition,bankofamericai.com,69.162.80.52,,,ns1.hastydns.com,United States,,,0
Addition,bankofamericaj.com,,,,,,,,
Addition,bankofamericak.com,,,,dns1.cscdns.net,,,,
Addition,bankofamerical.com,,,,dns1.cscdns.net,,,,
Addition,bankofamericam.com,199.59.242.151,,mx76.m2bp.com,ns1.bodis.com,United States,,,0
Addition,bankofamerican.com,,,,ns10.bac.com,,,,
Addition,bankofamericao.com,103.224.182.214,,park-mx.above.com,ns1.above.com,Australia,,,0
Addition,bankofamericap.com,,,,,,,,
Addition,bankofamericaq.com,199.59.242.151,,mx76.m2bp.com,ns1.bodis.com,United States,,,0
Addition,bankofamericar.com,,,,dns1.cscdns.net,,,,
Addition,bankofamericas.com,171.161.198.99,,,ns10.bac.com,United States,,,100
Addition,bankofamericat.com,45.63.17.171,,,ns-cloud-b1.googledomains.com,United States,,,0
Addition,bankofamericau.com,,,,,,,,
Addition,bankofamericav.com,108.59.12.98,,,ns1.tacomadc.com,United States,,,0
Addition,bankofamericaw.com,,,,,,,,
Addition,bankofamericax.com,,,,,,,,
Addition,bankofamericay.com,,,,,,,,
Addition,bankofamericaz.com,,,,,,,,
Bitsquatting,cankofamerica.com,69.162.80.57,,mail.h-email.net,ns1.hastydns.com,United States,,,0
Bitsquatting,fankofamerica.com,,,,,,,,
Bitsquatting,jankofamerica.com,,,,,,,,
Bitsquatting,rankofamerica.com,74.208.236.38,,mx00.1and1.com,ns1023.ui-dns.biz,United States,,,
Bitsquatting,bcnkofamerica.com,,,,,,,,
Bitsquatting,benkofamerica.com,172.93.194.62,,,ns1.domainmx.com,United States,,,0
Bitsquatting,binkofamerica.com,,,,,,,,
Bitsquatting,bqnkofamerica.com,162.210.199.65,,,ns1.wombatdns.com,United States,,,0
Bitsquatting,baokofamerica.com,209.15.13.134,,mail.b-io.co,ns1.dnslink.com,United States,,,0
Bitsquatting,balkofamerica.com,,,,,,,,
Bitsquatting,bajkofamerica.com,172.98.192.35,,,ns1.rentondc.com,United States,,,0
Bitsquatting,bafkofamerica.com,,,,,,,,
Bitsquatting,banjofamerica.com,199.59.242.151,,mx76.m2bp.com,ns1.bodis.com,United States,,,0
Bitsquatting,baniofamerica.com,151.106.5.164,,,ns1.redmonddc.com,United States,,,0
Bitsquatting,banoofamerica.com,104.237.196.117,,,ns1.domainmx.com,United States,,,0
Bitsquatting,bancofamerica.com,,,,dns1.cscdns.net,,,,
Bitsquatting,banknfamerica.com,,,us2.mx1.mailhostbox.com,1a7ea920.bitcoin-dns.hosting,,,,
Bitsquatting,bankmfamerica.com,,,,,,,,
Bitsquatting,bankkfamerica.com,72.52.4.119,,localhost,ns1.sedoparking.com,United States,,,0
Bitsquatting,bankgfamerica.com,,,,,,,,
Bitsquatting,bankogamerica.com,171.161.198.99,,,ns10.bac.com,United States,,,100
