fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,credit-agricole.fr,158.191.172.47,,mercure.credit-agricole.fr,a1-241.akam.net,France,1995-07-06,2018-06-20,100
Addition,credit-agricolea.fr,,,,,,,,
Addition,credit-agricoleb.fr,,,,,,,,
Addition,credit-agricolec.fr,,,,,,,,
Addition,credit-agricoled.fr,,,,,,,,
Addition,credit-agricolee.fr,,,,,,,,
Addition,credit-agricolef.fr,,,,,,,,
Addition,credit-agricoleg.fr,,,,,,,,
Addition,credit-agricoleh.fr,,,,,,,,
Addition,credit-agricolei.fr,,,,,,,,
Addition,credit-agricolej.fr,,,,,,,,
Addition,credit-agricolek.fr,,,,,,,,
Addition,credit-agricolel.fr,,,,,,,,
Addition,credit-agricolem.fr,,,,,,,,
Addition,credit-agricolen.fr,,,,,,,,
Addition,credit-agricoleo.fr,,,,,,,,
Addition,credit-agricolep.fr,,,,,,,,
Addition,credit-agricoleq.fr,,,,,,,,
Addition,credit-agricoler.fr,,,,,,,,
Addition,credit-agricoles.fr,,,,,,,,
Addition,credit-agricolet.fr,,,,,,,,
Addition,credit-agricoleu.fr,,,,,,,,
Addition,credit-agricolev.fr,,,,,,,,
Addition,credit-agricolew.fr,,,,,,,,
Addition,credit-agricolex.fr,,,,,,,,
Addition,credit-agricoley.fr,,,,,,,,
Addition,credit-agricolez.fr,,,,,,,,
Bitsquatting,bredit-agricole.fr,,,,,,,,
Bitsquatting,aredit-agricole.fr,,,,,,,,
Bitsquatting,gredit-agricole.fr,,,,,,,,
Bitsquatting,kredit-agricole.fr,,,,chenar.credit-agricole.fr,,2004-05-18,2018-05-18,
Bitsquatting,sredit-agricole.fr,,,,,,,,
Bitsquatting,csedit-agricole.fr,,,,,,,,
Bitsquatting,cpedit-agricole.fr,,,,,,,,
Bitsquatting,cvedit-agricole.fr,,,,,,,,
Bitsquatting,czedit-agricole.fr,,,,,,,,
Bitsquatting,cbedit-agricole.fr,,,,,,,,
Bitsquatting,c2edit-agricole.fr,,,,,,,,
Bitsquatting,crddit-agricole.fr,,,,,,,,
Bitsquatting,crgdit-agricole.fr,,,,,,,,
Bitsquatting,cradit-agricole.fr,18.220.249.234,,,ns-cloud-e1.googledomains.com,United States,2018-08-03,2018-08-03,
Bitsquatting,crmdit-agricole.fr,,,,,,,,
Bitsquatting,crudit-agricole.fr,,,,,,,,
Bitsquatting,creeit-agricole.fr,,,,,,,,
Bitsquatting,crefit-agricole.fr,,,,,,,,
Bitsquatting,crelit-agricole.fr,,,,,,,,
Bitsquatting,cretit-agricole.fr,,,,,,,,
Bitsquatting,credht-agricole.fr,,,,,,,,
Bitsquatting,credkt-agricole.fr,,,,,,,,
Bitsquatting,credmt-agricole.fr,,,,,,,,
Bitsquatting,credat-agricole.fr,,,,,,,,
Bitsquatting,credyt-agricole.fr,,,,,,,,
Bitsquatting,crediu-agricole.fr,,,,,,,,
Bitsquatting,crediv-agricole.fr,,,,,,,,
Bitsquatting,credip-agricole.fr,,,,,,,,
Bitsquatting,credid-agricole.fr,,,,,,,,
Bitsquatting,credi4-agricole.fr,,,,,,,,
Bitsquatting,creditmagricole.fr,,,,,,,,
Bitsquatting,credit-cgricole.fr,,,,,,,,
Bitsquatting,credit-egricole.fr,,,,,,,,
Bitsquatting,credit-igricole.fr,,,,,,,,
Bitsquatting,credit-qgricole.fr,,,,,,,,
Bitsquatting,credit-africole.fr,,,,,,,,
Bitsquatting,credit-aericole.fr,,,,,,,,
Bitsquatting,credit-acricole.fr,,,,,,,,
Bitsquatting,credit-aoricole.fr,,,,,,,,
Bitsquatting,credit-awricole.fr,,,,,,,,
Bitsquatting,credit-agsicole.fr,,,,,,,,
Bitsquatting,credit-agpicole.fr,,,,,,,,
Bitsquatting,credit-agvicole.fr,,,,,,,,
Bitsquatting,credit-agzicole.fr,,,,,,,,
Bitsquatting,credit-agbicole.fr,,,,,,,,
Bitsquatting,credit-ag2icole.fr,,,,,,,,
