fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,facebook.fr,31.13.71.1,2a03:2880:f012:1:face:b00c:0:1,,a.ns.facebook.com,,2007-10-25,2018-04-20,82
Addition,facebooka.fr,,,,,,,,
Addition,facebookb.fr,,,,,,,,
Addition,facebookc.fr,,,,,,,,
Addition,facebookd.fr,,,,,,,,
Addition,facebooke.fr,185.53.179.22,,mail.h-email.net,ns1.parkingcrew.net,,2018-11-15,2018-11-19,0
Addition,facebookf.fr,,,,,,,,
Addition,facebookg.fr,,,,,,,,
Addition,facebookh.fr,,,,,,,,
Addition,facebooki.fr,,,,,,,,
Addition,facebookj.fr,,,,,,,,
Addition,facebookk.fr,,,,,,,,
Addition,facebookl.fr,,,,,,,,
Addition,facebookm.fr,,,,,,,,
Addition,facebookn.fr,,,,,,,,
Addition,facebooko.fr,,,,,,,,
Addition,facebookp.fr,,,,,,,,
Addition,facebookq.fr,,,,,,,,
Addition,facebookr.fr,,,,,,,,
Addition,facebooks.fr,,,,ns81.domaincontrol.com,,2018-12-07,2018-12-07,
Addition,facebookt.fr,,,,,,,,
Addition,facebooku.fr,,,,,,,,
Addition,facebookv.fr,,,,,,,,
Addition,facebookw.fr,,,,,,,,
Addition,facebookx.fr,,,,,,,,
Addition,facebooky.fr,,,,,,,,
Addition,facebookz.fr,,,,,,,,
Bitsquatting,gacebook.fr,,,,,,,,
Bitsquatting,dacebook.fr,213.186.33.3,,redirect.ovh.net,dns14.ovh.net,,2017-11-20,2018-12-11,
Bitsquatting,bacebook.fr,,,,,,,,
Bitsquatting,nacebook.fr,,,,,,,,
Bitsquatting,vacebook.fr,,,,,,,,
Bitsquatting,fccebook.fr,,,,,,,,
Bitsquatting,fecebook.fr,199.59.242.151,,mx76.m2bp.com,ns1.bodis.com,,2009-06-15,2018-06-08,0
Bitsquatting,ficebook.fr,,,,,,,,
