fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,ovh.com,198.27.92.1,,mx1.ovh.net,dns.ovh.net,Canada,,,100
Addition,ovha.com,69.172.201.153,,,ns1.uniregistrymarket.link,United States,,,0
Addition,ovhb.com,91.195.240.230,,mail-gateway.domcollect.com,a.ns36.de,Germany,,,0
Addition,ovhc.com,141.8.225.68,,,,Switzerland,,,0
Addition,ovhd.com,12.144.179.226,,ovhd.com.mx1.rcimx.com,ns95.worldnic.com,United States,,,
Addition,ovhe.com,72.52.4.119,,localhost,ns1.sedoparking.com,United States,,,0
Addition,ovhf.com,184.168.221.104,,,ns1.afternic.com,United States,,,0
Addition,ovhg.com,69.172.201.153,,,ns1.uniregistrymarket.link,United States,,,0
Addition,ovhh.com,199.59.242.151,,mx76.m2bp.com,ns1.bodis.com,United States,,,0
Addition,ovhi.com,184.168.131.241,,mailstore1.secureserver.net,ns65.domaincontrol.com,United States,,,
Addition,ovhj.com,23.20.239.12,,,ns1.namebrightdns.com,United States,,,0
Addition,ovhk.com,185.35.184.12,,mx1.pub.mailpod7-cph3.one.com,ns01.one.com,Norway,,,0
Addition,ovhl.com,185.87.187.243,2a00:f10:305:0:1c00:63ff:fe00:52b,mail.ovhl.com,christina.neostrada.nl,Netherlands,,,0
Addition,ovhm.com,,,,,,,,
Addition,ovhn.com,159.8.40.54,,mail.efty.com,ns1.eftydns.com,Netherlands,,,0
Addition,ovho.com,45.56.111.241,,mx236.m1bp.com,,United States,,,0
Addition,ovhp.com,184.168.221.104,,,ns1.afternic.com,United States,,,0
Addition,ovhq.com,170.178.178.38,,,,United States,,,
Addition,ovhr.com,162.241.241.211,,ovhr.com,ns1.ovhr.com,United States,,,0
Addition,ovhs.com,184.168.131.241,,,ns65.domaincontrol.com,United States,,,0
Addition,ovht.com,184.168.221.104,,,ns1.afternic.com,United States,,,0
Addition,ovhu.com,207.174.213.34,,,toglodo.earth.orderbox-dns.com,United States,,,0
Addition,ovhv.com,69.172.201.153,,,ns1.uniregistrymarket.link,United States,,,0
Addition,ovhw.com,184.168.131.241,,mailstore1.secureserver.net,ns45.domaincontrol.com,United States,,,0
Addition,ovhx.com,69.172.201.153,,,ns1.uniregistrymarket.link,United States,,,0
Addition,ovhy.com,103.224.182.238,,park-mx.above.com,ns1.above.com,Australia,,,0
Addition,ovhz.com,199.59.242.151,,mx76.m2bp.com,ns1.bodis.com,United States,,,0
Bitsquatting,nvh.com,75.126.102.238,,,ns1bqx.name.com,United States,,,0
Bitsquatting,mvh.com,208.186.132.20,,x00.i.ismtp.integra.net,,United States,,,0
Bitsquatting,kvh.com,52.54.81.96,,us-smtp-inbound-1.mimecast.com,ns1.p28.dynect.net,United States,,,0
Bitsquatting,gvh.com,,,,,,,,
Bitsquatting,owh.com,65.118.254.197,,gw4206.fortimail.com,pdns03.domaincontrol.com,United States,,,0
Bitsquatting,oth.com,75.126.102.254,,,ns1bqx.name.com,United States,,,0
Bitsquatting,orh.com,75.126.101.240,,,ns1bqx.name.com,United States,,,0
Bitsquatting,ofh.com,103.227.176.14,,ofh.com,ns1.a2hosting.com,Singapore,,,0
Bitsquatting,o6h.com,,,,,,,,
Bitsquatting,ovi.com,131.228.17.59,,,ns.nokia.com,United Kingdom,,,
Bitsquatting,ovj.com,69.172.201.153,,,ns1.uniregistrymarket.link,United States,,,0
Bitsquatting,ovl.com,75.126.102.235,,,ns1bqx.name.com,United States,,,0
Bitsquatting,ovx.com,199.59.242.151,,mx76.m2bp.com,ns1.bodis.com,United States,,,0
Homoglyph,xn--v-0ga23w.com,,,,,,,,
Homoglyph,xn--vh-rub65j.com,,,,,,,,
Homoglyph,xn--vih-2xd.com,,,,,,,,
Homoglyph,xn--v-ztb215r.com,,,,,,,,
Homoglyph,xn--vh-7bb97f.com,,,,,,,,
Homoglyph,xn--vlh-fna.com,,,,,,,,
Homoglyph,xn--h-5wb543r.com,,,,,,,,
Homoglyph,xn--v-rmb214j.com,,,,,,,,
Homoglyph,xn--v-jcc795q.com,,,,,,,,
Homoglyph,xn--h-nmb798r.com,,,,,,,,
Homoglyph,xn--h-sqa43n.com,,,,,,,,
Homoglyph,xn--h-nmbf.com,,,,,,,,
Homoglyph,xn--h-uga80y.com,,,,,,,,
Homoglyph,xn--v-wya216k.com,,,,,,,,
Homoglyph,xn--h-0ga74s.com,,,,,,,,
Homoglyph,xn--vih-4ge.com,,,,,,,,
Homoglyph,xn--v-uga910a.com,,,,,,,,
Homoglyph,xn--vh-1ya74l.com,,,,,,,,
Homoglyph,xn--oih-1yc.com,,,,,,,,
Homoglyph,xn--0v-dmc.com,,,,,,,,
Homoglyph,xn--ovih-rwc.com,,,,,,,,
Homoglyph,xn--ovh-7ub.com,,,,,,,,
Homoglyph,xn--ovi-sdq.com,,,,,,,,
Homoglyph,xn--o-6wb4s.com,,,,,,,,
Homoglyph,xn--ovh-3ta.com,,,,,,,,
