fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,societegenerale.fr,193.178.154.48,,mail.iap.socgen.com,tigdns01.socgen.com,France,1999-09-09,2018-10-12,100
Addition,societegeneralea.fr,,,,,,,,
Addition,societegeneraleb.fr,,,,,,,,
Addition,societegeneralec.fr,,,,,,,,
Addition,societegeneraled.fr,,,,,,,,
Addition,societegeneralee.fr,,,,,,,,
Addition,societegeneralef.fr,,,,,,,,
Addition,societegeneraleg.fr,,,,,,,,
Addition,societegeneraleh.fr,,,,,,,,
Addition,societegeneralei.fr,,,,,,,,
Addition,societegeneralej.fr,,,,,,,,
Addition,societegeneralek.fr,,,,,,,,
Addition,societegeneralel.fr,,,,,,,,
Addition,societegeneralem.fr,,,,,,,,
Addition,societegeneralen.fr,,,,,,,,
Addition,societegeneraleo.fr,,,,,,,,
Addition,societegeneralep.fr,,,,,,,,
Addition,societegeneraleq.fr,,,,,,,,
Addition,societegeneraler.fr,,,,,,,,
Addition,societegenerales.fr,,,,,,,,
Addition,societegeneralet.fr,,,,,,,,
Addition,societegeneraleu.fr,,,,,,,,
Addition,societegeneralev.fr,,,,,,,,
Addition,societegeneralew.fr,,,,,,,,
Addition,societegeneralex.fr,,,,,,,,
Addition,societegeneraley.fr,,,,,,,,
Addition,societegeneralez.fr,,,,,,,,
Bitsquatting,rocietegenerale.fr,,,,,,,,
Bitsquatting,qocietegenerale.fr,,,,,,,,
Bitsquatting,wocietegenerale.fr,,,,,,,,
Bitsquatting,cocietegenerale.fr,,,,,,,,
Bitsquatting,3ocietegenerale.fr,,,,,,,,
Bitsquatting,sncietegenerale.fr,,,,,,,,
Bitsquatting,smcietegenerale.fr,,,,,,,,
Bitsquatting,skcietegenerale.fr,,,,,,,,
Bitsquatting,sgcietegenerale.fr,,,,,,,,
Bitsquatting,sobietegenerale.fr,,,,,,,,
Bitsquatting,soaietegenerale.fr,,,,,,,,
