fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,facebook.com,31.13.75.36,2a03:2880:f112:83:face:b00c:0:25de,msgin.vvv.facebook.com,a.ns.facebook.com,Ireland,,,83
Addition,facebooka.com,184.154.126.180,,,ns3.dns.com,United States,,,0
Addition,facebookb.com,199.59.242.151,,mx76.m2bp.com,ns1.bodis.com,United States,,,0
Addition,facebookc.com,199.59.242.151,,mx76.m2bp.com,ns1.bodis.com,United States,,,0
Addition,facebookd.com,199.59.242.151,,mx76.m2bp.com,ns1.bodis.com,United States,,,0
Addition,facebooke.com,184.168.131.241,,,ns05.domaincontrol.com,United States,,,0
Addition,facebookf.com,199.59.242.151,,mx76.m2bp.com,ns1.bodis.com,United States,,,0
Addition,facebookg.com,103.224.182.214,,park-mx.above.com,ns1.above.com,Australia,,,0
Addition,facebookh.com,52.58.78.16,2a05:d014:9da:8c10:306e:3e07:a16f:a552,mx.facebookh.com,ns1.undeveloped.com,Germany,,,0
Addition,facebooki.com,,,,,,,,
Addition,facebookj.com,207.174.213.34,,,avik185246.earth.orderbox-dns.com,United States,,,0
Addition,facebookk.com,198.54.117.244,,,failed-whois-verification.namecheap.com,United States,,,0
Addition,facebookl.com,34.202.122.77,,,ns1.dynadot.com,United States,,,0
Addition,facebookm.com,199.59.242.151,,mx76.m2bp.com,ns1.bodis.com,United States,,,0
Addition,facebookn.com,185.53.179.6,,,ns1.parkingcrew.net,Germany,,,0
Addition,facebooko.com,185.53.179.7,,mail.h-email.net,ns1.parkingcrew.net,Germany,,,0
Addition,facebookp.com,199.59.242.151,,mx76.m2bp.com,ns1.bodis.com,United States,,,0
Addition,facebookq.com,184.168.131.241,,,ns71.domaincontrol.com,United States,,,0
Addition,facebookr.com,103.224.182.238,,park-mx.above.com,ns1.above.com,Australia,,,0
Addition,facebooks.com,31.13.71.1,2a03:2880:f012:1:face:b00c:0:1,,a.ns.facebook.com,Ireland,,,75
Addition,facebookt.com,208.73.210.202,,,ns1.dsredirection.com,United States,,,0
Addition,facebooku.com,164.132.241.243,,facebooku.com,ns1.kanaln.com,France,,,0
Addition,facebookv.com,198.71.248.67,,,ns35.domaincontrol.com,United States,,,0
Addition,facebookw.com,,,,,,,,
